,명칭,주소,lat,lon,개요,문의 및 안내,주차 시설,영업시간,쉬는날,대표메뉴,취급메뉴,상세정보
10,제주돌창고,"제주특별자치도 제주시 한경면 조수7길 8
			",33.3371215416,126.2335770008,"오랫동안 비어 있던 제주 전통 돌창고를 재활용한 카페다. 제주 만의 감성을 듬뿍 담은 외관부터 눈길을 사로잡는 이곳은 내부 또한 원형을 고스란히 보존해 독특한 분위기를 완성했다. 야자수와 돌담이 그림처럼 어우러진 야외 수영장은 제주돌창고의 최고 인기 포토존 가운데 그네를 설치해 휴양지에 온 것 같은 설렘도 느낄 수 있다. 수영장 주변에 마련된 선베드도 색다른 분위기를 즐기기 좋다. 먹거리에도 제주다움이 그대로 묻어난다. 제주 전통 음료인 쉰다리와 보리개역을 비롯해 협재리 한라봉, 월령리 백년초, 명월리 석류, 서귀포 말차를 활용한 로컬음료도 선보인다. 지름떡과 오메기떡, 상돼우다 등 제주 전통 디저트도 맛볼 수 있다.",064-773-1972,있음,월~목요일 09:30~18:00 금~토요일 13:00~21:00,매주 일요일,"쉰다리, 보리개역","협재리 한라봉, 지름떡 등",
11,장수해장국,"제주특별자치도 서귀포시 천제연로 152
			",33.2525699403,126.4210514935,중문 관광단지에서 천제연폭포 근처 식당가의 시초가 되었다는 장수해장국이다. 사골국밥과 뼈해장국의 진하고 시원한 맛은 든든한 식사가 된다. 중문 여미지식물원의 전경이 눈앞에 펼쳐지는 전망 좋은 식당이다.,064-738-5667,주차 가능,00:00 ~ 24:00,연중무휴,사골국밥,사골국밥 / 얼큰사골국밥 / 뼈해장국 / 내장국밥 / 순대국밥 외,"화장실:남녀개별 / 식당내외부
"
12,쉬는팡가든,제주특별자치도 서귀포시 상예로 244(상예동),33.2668096189,126.3947034614,"쉬는팡가든은 제주도 서귀포에 있는 흑돼지 전문점이다. 신선한 재료와 저렴한 가격으로 흑돼지 오겹살을 맛볼 수 있으며, 깔끔한 인테리어와 넓은 주차장으로 보다 편안하게 식사를 즐길 수 있는 곳이다.",064-738-5833,주차 가능,11:00 ~ 21:00,매주 수요일 휴무,흑돼지 오겹살,흑돼지 오겹살 / 전복 뚝배기 / 동치미 국수 외,"화장실:있음(남녀개별 / 업소 내부 위치)
"
13,구좌상회,"제주특별자치도 제주시 조천읍 선교로 198-5
			",33.4857235955,126.6988860073,"월정리 해변가에 위치한 구좌상회는 제주 돌담으로 지어진 옛집 풍경을 간직한 고즈넉하고 아담한 카페이다. 집 두 채를 개조하여 빈티지한 멋스러움을 간직하면서도 통창으로 보이는 경관이 감성을 더욱 자극한다. 시그니쳐 메뉴인 당근케이크는 촉촉한 케이크 시트와 당근이 맛의 조화를 이룬다. 소녀감성 가득한 찻잔에 홍차를 곁들이며 조용하게 감상에 빠져들기 좋다. 테이블과 의자, 식물들이 놓여있는 앞마당은 그 자체가 포토존이다. 제주스러움을 느끼고 싶다면 꼭 가봐야 할 카페이다.",010-6600-6648,불가 (마을 공영주차장 이용 가능),10:30 ~ 18:30,"화요일, 수요일",당근케이크,"커피, 케이크, 블랙티, 한라봉차 등","부대시설:무선 인터넷, 화장실
화장실:가능 (남녀 구분)
"
14,제주바다2822,제주특별자치도 서귀포시 중문관광로72번길 29-51(색달동),33.2459233246,126.4129856745,바다가 보이는 브런치 카페이다. 전망대 못지않은 훌륭한 뷰를 자랑한다. 중문관광단지 안 한국콘도와 롯데호텔 사이로 오면 쉽게 찾을 수 있다.,064-738-8884,,매일10:00~19:00 날씨따라 변동발생,,"제주 위트에일, 맥파이브루어리",,
15,올레안뜰,제주특별자치도 서귀포시 법환로 24(법환동),33.2372591895,126.5128244343,"제주시 남쪽에 위치해 있는 올레 안뜰은 수제로 만든 흑돼지 왕돈가스 전문점이다. 돌담에 제주도 식으로 올린 지붕이 인상적이고 돈가스 크기는 더 인상적이다. A4용지보다 큰 사이즈의 돈가스는 2인분이 즐길 수 있는 양으로 토르티야에 샐러드와 함께 말아 먹으면 더욱 별미이다.  돈가스 외에도 눈꽃 치즈 스파게티, 크림 스파게티 등 여러 메뉴가 있어 가족이나 연인이 식사하기 좋다. 맛집으로 소문난 곳이라 시간대에 따라 대기를 감수해야 한다.",064-738-7720,없음 (주변 도로),11:30~20:00 (브레이크타임 16:00~17:00),목요일,"흑돼지 왕돈가스, 흑돼지 매운 왕돈가스","눈꽃 치즈 스파게티, 크림스파게티 등","화장실:있음 (남녀 구분)

"
16,크래커스 대정점,"제주특별자치도 서귀포시 대정읍 보성구억로126번길 34
			",33.2633054229,126.2797051883,"크래커스는 원두를 직접 로스팅하는 곳으로 유명한 커피 맛집이다. 한경점, 대정점 두 곳이 있다. 크래커스 대정점은 현무암으로 지어진 오래된 귤 창고를 개조하여 만든 창고형 카페로 내부는 세련되고 감각적인 인테리어로 깔끔하다. 특히 빛을 최소화하여 음료와 공간에 집중할 수 있게 어두운 느낌을 주었다. 매장에서 이곳에서 직접 로스팅한 원두와 굿즈도 판매 중이다. 커피 주문 시 취향에 맞게 원두를 선택할 수 있으며 커피와 함께 즐길 수 있는 베이커리와 디저트도 있다. 커피 외에도 디카페인커피, 차, 레몬에이드, 핫초코, 베이비치노, 아이스크림이 있어 커피를 즐기지 않는 사람이 방문하여도 메뉴 선택의 폭이 넓다.",064-792-8900,주차가능,10:00 - 18:00,,"비엔나 커피, 콜드브루","말차라떼, 베이비치노, 아이스크림, 빵 등","부대시설:주차장, 화장실
화장실:가능
"
17,유빈,"제주특별자치도 제주시 탑동로 55
			",33.5180421425,126.519014786,"고급 식재료 중 하나인 전복은 타 지역에 비해 제주도에서 많이 맛볼 수 있다. 고급 식재료인 만큼 가격은 비싸지만 영양과 맛에서 비싼 이유를 찾을 수 있다. 유빈식당의 전복죽은 비린 맛이 안 느껴지며 전복죽이 하얀색이라는 고정관념을 깨고 노란색의 색다른 맛을 느낄 수 있다. 죽뿐 아니라 구이와 회로도 즐길 수 있으며, 예약을 하고 간다면 조리하는 시간을 기다리지 않고 바로 즐길 수 있어 좋다.<br>",064-753-5218,주차 가능,08:00 ~ 19:00,연중무휴,전복죽,전복죽 / 전복스테이크 / 전복뚝배기 / 전복모둠회 외,"화장실:남녀개별, 업소내 위치
"
18,백기해녀의집,"제주특별자치도 서귀포시 성산읍 일출로 88-19
			",33.4499422661,126.9223924466,"백기해녀의집은 광치기해변 인근에 있는 해산물을 전문으로 하는 음식점이다. 섭지코지에서 성산일출봉 가는 길가에 위치하고 있으며 성게, 해삼 등 해산물과 성게해삼물회, 성게칼국수 등 식사류를 제공한다.",064-782-0673,주차 불가,하절기 07:00 ~ 19:00(전화문의)<br />동절기 07:30 ~ 18:00(전화문의),명절(유동적 휴무로 전화문의),"성게해삼물회, 성게칼국수",활어회 / 해삼물회 / 성게칼국수 / 전복죽 / 매운탕 외,
19,서귀포괸당네,"제주특별자치도 서귀포시 칠십리로 123
			",33.2431066335,126.5675612265,서귀포에 위치한 서귀포괸당네 식당은 제주산 갈치 요리에 일가견이 있는 음식점이다. 제주산 은갈치로 만들어 내는 갈치조림과 갈치회가 이 집의 대표 메뉴이다. 매콤한 양념의 갈치조림은 큼직한 무에 갖은 양념을 넣어 조림을 하는데 다른 반찬이 필요 없을 정도로 맛이 좋다. 괸당네 갈치회는 하얀 속살에 은빛에서 느껴지는 쫄깃함이 보인다. 관광객에 많이 알려져 성수기에는 반드시 예약은 필수이다. 1층과 2층으로 구비되어 약 150석의 넓은 좌석까지 확보하고 있어 단체 고객까지도 충분히 수용할 수 있어 이용이 편리하다.<br>,064-732-3757,주차 가능,08:00 ~ 20:30,연중무휴,통갈치조림,통갈치조림 / 통갈치구이 / 고등어조림 / 고등어구이 외,"화장실:남녀구별, 식당내부
"
20,대관원,"제주특별자치도 제주시 신대로13길 3
			",33.4877868155,126.4974617902,제주에서 2대에 걸쳐 50여 년간 중국요리를 해온 중식요리 전문점이다. 제주도를 방문하는 대만과 중국 관광객들이 즐겨 찾는 곳이다.<br>,064-746-6067,주차 가능,11:00 ~ 21:00,둘째·넷째주 월요일,코스요리,코스요리 / 삼선쟁반짜장 / 하얀짬뽕 / 전가복 / 유산슬 / 양장피 외,
21,신설오름,제주특별자치도 제주시 고마로17길 2(일도이동),33.5054161224,126.541590888,"제주 몸국은 돼지고기 삶은 물에 모자반과 미역을 넣어 삶아내고 기호에 따라서 돼지 내장이나 선지를 곁들인 후 메밀가루를 풀어 농도를 조절한 향토 음식이다. 신설오름은 제주에서 유명한 몸국 전문점이며, 공항 근처에 있어 많은 관광객이 찾는 맛집이다. 몸국 외에도 제주 특산 메뉴를 다양하게 만나볼 수 있다. 신설오름의 몸국은 진한 국물에 감자탕과 같이 깊고 진한 맛이 특징이다. 이 밖에도 야들야들한 식감의 돔베고기도 이 집의 인기 메뉴다. 관광객뿐만 아니라 현지 도민의 단골집이기도 하다.",064-758-0143,없음,08:00 ~ 06:00 (다음날),명절 당일,"고등어구이, 돔베고기","몸국, 몸국수, 고기국수, 산낙지, 소라회, 소라구이, 소라물회","부대시설:있음 (남녀 구분)


"
22,삼보가든,"제주특별자치도 제주시 조천읍 비자림로 653
			",33.4367342104,126.6765362872,"삼복가든은 제주 미니랜드 인근에 위치한 한식 전문 음식점이다. 백숙, 볶음탕, 김치찌개, 된장찌개, 뼈다귀해장국, 정식 등 다양한 한식메뉴를 제공하며, 아침식사도 가능하다. <br>",064-784-8181,주차 가능,06:30 ~ 23:00,일요일,"해물뚝배기, 된장찌개",백숙 / 흑돼지생구이 / 해물뚝배기 / 된장찌개 / 뼈다귀 해장국 외,
23,임금님밥상,제주특별자치도 제주시 오광로 128(노형동),33.4849337731,126.4609483627,"오전 8시 30분부터 오후 3시까지 운영하는 고등어 김치찜, 생선구이백반(고등어, 조기, 옥돔 등 3마리), 육개장 전문점. 사위가 직접 잡은 제주산 생선만 사용하기때문에 국내산 싱싱한 생선을 푸짐하게 먹을 수 있는 장점이 있다. 계란 프라이는 따로 시킬 수 있지만 톳무침, 오이지무침, 깻잎절임, 콩자반, 파래부침개 등 소박하면서도 하나하나 정갈한 밑반찬들이 가슴 따뜻해지는 집밥같이 느껴진다. 제주공항 근처이다 보니 여행 다니면서 그리워지는 한식 밥상 먹기 좋은 곳이다.",064-747-2798,주차가능,08:30 ~ 15:00,"매월 둘째, 넷째 주 수요일 휴무",생선구이백반,"뚝배기불고기, 참조기찌개","부대시설:주차장, 화장실, 무선인터넷
화장실:가능 (남녀구분)
"
24,한림칼국수 제주본점,"제주특별자치도 제주시 한림읍 한림해안로 141
			",33.4155882987,126.2615228216,"한림칼국수 제주 본점은 협재 해수욕장 인근에 있는 칼국수 전문점으로, 오랜 세월 한자리를 지켜오며 많은 단골을 만든 전통 맛집이다. 푸짐하고 가성비가 좋으며 아침 식사도 가능해서 아침부터 많은 손님이 찾는다. 메뉴는 4가지로, 보말 칼국수, 닭칼국수 영양보말죽, 매생이 보말전 등이 있다. 대표 메뉴인 보말 칼국수는 매생이가 들어간 덕에 걸쭉하며, 국물이 가볍지 않아 한 그릇만 먹어도 포만감이 느껴진다. 취향에 따라 청양고추를 넣어 먹어도 좋다.",070-8900-3339,주차가능,07:00 ~ 16:00,일요일,보말칼국수,"영양보말죽, 매생이보말전, 닭칼국수 등","부대시설:주차장, 화장실
화장실:가능 (남녀 구분)
"
25,논짓물식당,제주특별자치도 제주시 신대로12길 41(연동),33.4886727444,126.4921761188,"제주 공항 근처 갈치조림 맛집으로 알려진 논짓물식당은 제주도민들의 추천이 많은 곳이다. 가게 내부는 그리 크지 않고 식사 시간에 가면 웨이팅을 할 수도 있으며 대표 메뉴는 갈치조림이다. 제주 앞바다에서 당일 공수해 온 생물 갈치를 조리하여 싱싱하고 살이 도톰하고 촉촉하다. 조림, 해물탕, 구이 주문 시 밥은 별도 주문으로 공깃밥, 돌솥밥을 선택할 수 있다. 돌솥밥은 20분 정도 소요가 되니 미리 주문하는 게 좋다. 갈치조림뿐 아니라 우럭조림, 쥐치조림, 생선구이, 해물탕, 회 등 해산물 메뉴가 다양하다. 주차장은 따로 없어 가게 근처 신제주 공영주차장에 주차하고 식사 후 1시간 무료 주차권을 받아 가면 된다.",064-711-8090,,10:30 - 21:30 (라스트오더 21:00),일요일 휴무,해물탕,"갈치조림, 갈치구이, 문어꼬치, 보말성게국, 고사리육개장 등","화장실:가능
"
26,제주뚝배기,"제주특별자치도 서귀포시 성산읍 일출로 255
			",33.4611967513,126.9330912603,"성산일출봉으로 진입하는 일방통행 길 초입에 성산리 일대에서 제일 먼저 생긴 맛집이 제주뚝배기 식당이다. 시끌벅적한 소음이 기분 좋게 들리는 이 식당의 메인 메뉴는 바로 해물뚝배기다. 오분자기, 새우, 게, 소라 등 갖은 싱싱한 해물로 맛을 낸 뚝배기 국물은 오래된 전통의 맛을 담고 있다. 주로 간단한 식사 메뉴가 주를 이루는데 뚝배기 외에 갈치와 고등어조림과 부드럽고 담백한 전복죽도 많이 찾는 메뉴다.<br>",064-782-1089,,08:30-20:30,연중무휴,회정식,전복뚝배기 / 해물뚝배기 / 갈치조림 / 고등어조림 / 전복죽 / 물회 / 회덮밥 외,"화장실:남녀구분
"
27,수희식당,"제주특별자치도 서귀포시 태평로 377
			",33.2453646181,126.5612617215,"제주의 향토음식점인 수희식당은 천지연 폭포하류와 부두가 서귀포 칠십리를 한눈에 내려다 보인다. 청청한 바다에서 갓잡은 싱싱항 오분자기와 해물로 끓여 시원하면서도 담백한 뚝배기, 옥돔구이, 왕소금을 뿌려 구운 제주 은갈치 구이, 싱싱한 물회 맛이 일품이다.<br>",064-762-0777,주차 가능,08:00 ~ 21:00 (break time 15:30 ~ 17:00),명절휴무,"전복뚝배기, 갈치조림",고등어조림 / 갈치조림 / 고등어구이 / 전복회 / 전복뚝배기 / 성게미역국 외,"화장실:남녀개별 화장실 / 업소내 위치
"
28,바다를본돼지,"제주특별자치도 제주시 한경면 판포1길 16
			",33.365678936,126.1979211328,비양도가 보이는 바다 경치를 감상하며 제주 흑돼지와 해산물을 함께 먹을 수 있는 바다를본돼지는 판포포구 근처에 위치해 있다. 식당 내부는 넓고 바다를 향해 폴딩도어가 있어 시원한 개방감을 준다. 대표 메뉴인 흑돼지구이를 고사리에 싸서 멜젓에 콕 찍어 먹으면 맛이 일품이다. 또한 돌솥밥에는 비벼 먹을 수 있는 전복 내장 소스가 함께 나와 인기가 좋다. 가성비 좋은 점심특선을 선호하는 손님도 많지만 저녁에 방문하여 붉은 석양을 보며 먹어도 좋다.,064-772-5509,주차가능,"12:00 ~ 22:30<br>(브레이크타임 16:00 ~ 17:00, 라스트오더 21:00)",,바다 본 흑돼지 2인 세트,"흑오겹살, 흑목살, 키조개야채볶음, 새우구이, 전복뚝배기","부대시설:단체석, 무선인터넷 , 주차장, 화장실
화장실:가능 (남녀 구분)
"
29,목스키친,"제주특별자치도 서귀포시 표선면 일주동로6455번길 21
			",33.3065391943,126.7837299601,"제주 서귀포시 표선에 있는 목스키친은 제주 감성이 가득 묻어있는 퓨전 양식 맛집이다. 핑크빛 외관이 눈에 띄어 찾기 쉬우며 테라스가 있어 날이 좋을 때 표선 앞바다를 보며 식사하기 좋은 곳이다. 실내에 들어서면 아기자기한 소품들로 꾸며놓은 포토존도 있다. 목스키친의 메뉴는 제주 닮은 리조또, 제주 많은 필라프, 그대와 제주 라멘으로 모두 제주산 해산물이 들어간다. 황게, 전복, 딱새우 등이 올라간 리조또는 수제 로제 소스로 만들어 해산물을 안 좋아하는 사람도 부담 없이 즐길 수 있다. 테이블에서 치즈를 직접 그레이터로 갈아 주어 재미를 더한다.",010-3157-0828,있음 / 주차요금 무료,10:00-20:00 (라스트오더 19시/브레이크 타임 15:00-16:00),없음,"제주 많은 필라프, 제주 닮은 리조또","그대와 제주 라멘, 멘보샤, 에이드, 탄산음료, 맥주 등","화장실:있음

"
30,델문도,"제주특별자치도 제주시 조천읍 조함해안로 519-10
			",33.5437389138,126.6687150779,함덕해수욕장 바닷가에 있는 델문도는 백사장 한가운데 있어 마치 바다 위에 떠 있는 느낌을 주어 사람들의 발길이 끊이질 않는 제주 핫플레이스 카페 중 하나이다. 제주 최대 로스팅 전문점으로 세계에서 60대밖에 없는 기계를 소유한 델문도는 신선한 원두로 내리는 커피와 다양한 종류의 빵과 젤라또를 판매하는 베이커리 카페이다. 이곳에서 만드는 빵은 나오는 시간이 각각 정해져 있어 원하는 빵이 있다면 시간 확인 후 방문하는 게 좋다. 매장 한편에 원두와 굿즈도 판매한다. 직접 로스팅하여 내린 커피부터 디저트까지 즐길 수 있는 델문도는 메뉴의 선택이 다양하여 가족과 함께 가기 좋다.,064-702-0007,주차가능,07:00 - 24:00 (라스트오더 23:30),,"콜드브루, 아몬드크림라뗴, 컵오브엑설런스, 내셔널 위너, 싱글오리진","에스프레소, 아메리카노, 카페라떼, 카페모카, 바닐라 라떼, 젤라또라떼, 수제차, 허브티, 젤라또, 맥주, 에이드, 빵, 케이크 등","부대시설:주차장, 화장실
화장실:가능
"
31,제주순메밀막국수,"제주특별자치도 서귀포시 안덕면 녹차분재로 60
			",33.2912832359,126.3019581894,100% 제주 순메밀만 사용하는 제주순메밀막국수는 제주 오설록 근처에 위치해 있다. 방앗간에서 직접 짠 들기름으로 만들어 고소한 맛이 일품인 '들기름 막국수'가 대표 메뉴이며 들기름 막국수를 반쯤 먹은 뒤 동치미 육수를 붓고 저어 먹으면 또 다른 맛으로 즐길 수 있다. 또한 명태회는 물론 모든 양념장 및 소스를 장인의 기술로 직접 만들어서 사용하고 당연히 김치와 동치미도 직접 담근다. 브레이크 타임도 없고 새벽부터 늦 은밤까지 운영하며 내부 공간은 물론 주차장도 넓어 부담 없이 이용하기 좋다.,064-792-0600,주차가능,06:00 ~ 23:00 (라스트오더 22:30),,들기름막국수,"명태회막국수, 해물찜닭, 샤브백숙, 동치미막국수, 소바, 파전 등","부대시설:단체석, 주차장, 화장실
화장실:가능
"
32,애월빵공장앤카페,"제주특별자치도 제주시 애월읍 금성5길 42-15
			",33.4483158609,126.3015741601,"애월빵공장앤카페는 최고의 쉐프들이 엄선된 재료만을 사용하여 최신 설비와 오븐으로 4시간 이내에 구운 빵을 판매하여 신선하고 맛있는 빵과 음료를 즐길 수 있는 곳이다. 특히 현무암쌀빵, 고구마빵, 한라봉모히또, 에멜랄드비치에이드는 이곳 시그니처 메뉴이다. 매장에서 사용한 컵은 재활용이 가능한 친환경 리유저블컵으로 사용 후 가지고 가서 재사용이 가능하다. 곽지해수욕장의 에메랄드빛 바다 뷰와 제주다운 맛과 멋을 만끽할 수 있는 여유로운 공간에서 여행 중 잠시 힐링 타임을 가져보자.",064-799-5959,주차가능,09:00 - 20:00 (라스트오더 19:30),,"현무암 쌀 빵, 에멜랄드 비치에이드","제주 감귤 주스, 제주 당근 주스, 그린티 라떼 등","부대시설:단체석, 주차장, 화장실
화장실:가능
"
33,등경돌식당,"제주특별자치도 서귀포시 성산읍 일출로 279
			",33.4626410603,126.9346022072,"성산 일출봉 주차장 입구의 옹기종기 모여 있는 음식점 중 한 곳으로, 대표 메뉴는 해물전골, 오분작뚝배기이다. 해물전골 안에는 싱싱한 해산물이 가득 들어가 있어 시원한 국물 맛을 낸다.<br>",064-782-0707,주차 가능,08:00 ~ 21:00,연중무휴,해물전골 / 오분작뚝배기,해물전골 / 오분작뚝배기 / 통갈치구이 / 갈치조림 외,"화장실:남녀구별, 식당내부
"
