,명칭,주소,lat,lon,개요,문의 및 안내,쉬는날,이용시간,주차시설,유모차 대여 여부,애완동물 동반 가능 여부,상세정보
65,송악산,제주특별자치도 서귀포시 대정읍 송악관광로(상모리),33.1994515348,126.2907750868,"산방산(395m)의 남쪽, 가파도가 손에 잡힐 듯 보이는 바닷가에 불끈 솟은 산이 산방산이다. 99개의 작은 봉우리가 모여 일명 99봉이라고도 한다. 남제주군 산방굴사에서 송악산  초입까지는 풍치 좋기로 소문난 해안도로이다. 그 길을 달려 송악산에 이른다.  송악산은 한라산처럼 웅장하거나 산방산처럼 경치가 빼어나지는 않다. 그러나 송악산 정상에 오르면  누구나 감탄사를 토해낸다.  앞으로 가까이 보이는 최남단의 마라도와 가파도, 형제섬, 우뚝 솟은 산방산, 멀리 보이는 한라산, 그리고 끝없는 태평양, 바다를 씻겨온 바람과 능선에 이어지는 푸른 잔디의  풋풋한 감촉 때문이다.<br />송악산은 그 모양새가 다른 화산들과는 달리 여러 개의 크고 작은 봉우리들이 모여 이루어져 있다. 주봉의 높이는 해발 104m. 이 주봉을 중심으로 하여 서북쪽은 넓고 평평한  초원지대이고 서너 개의 봉우리가 있다.  주봉에는 둘레 500m, 깊이 80m 정도되는 분화구가 있는데 그 속에는 아직도 검붉은 화산재가 남아 있다. 그리고 바닷가 해안 절벽에는 일제 때 일본군이 뚫어 놓은 동굴이 여러 개 있어 지난날의 아픈 역사를 말해주고 있다. 송악산 아래 해안은 감성돔이나 뱅에돔, 다금바리가 많이 잡히는 낚시터로도 유명하다.",제주관광정보센터 064-740-6000,연중개방,00:00~24:00,주차가능,없음,없음,"입 장 료:무료
이용가능시설:송악산 전망대
화장실:있음
"
66,카멜리아힐,"제주특별자치도 서귀포시 안덕면 병악로 166
			",33.2898983201,126.3682663519,"안덕면 상창리 172,000㎡에 조성된 카멜리아힐은 세계에서 가장 큰 동백꽃을 비롯하여 가장 일찍 피는 동백꽃, 향기를 내는 동백꽃에 이르기까지  전세계 500여 종 6000여 그루의 동백나무가 한데 모여 있다. 카멜리아힐은 동백과 함께 야자수 등 각종 조경수가 함께 어우러진 수목원이기도 하다. 야생화 코너를 비롯해 넓은 잔디광장, 생태연못 등도 골고루 갖추고 있다. 초가별장과 목조별장, 스틸하우스, 콘도형 별장 등 다양한 숙박시설을 비롯해 동백꽃을 소재로 제작된 공예품을 전시하는 갤러리, 다목적 세미나실도 마련했다.<br>
카멜리아 힐은 30년 열정과 사랑으로 제주의 자연을 담은, 동양에서 가장 큰 동백 수목원이다. 6만여 평의 부지에는 가을부터 봄까지 시기를 달리해서 피는 80개국의 동백나무 500여 품종 6000여 그루가 울창한 숲을 이루고 있다. 또 향기가 나는 동백8종 중 6종을 보유하고 있어서 달콤하고 매혹적인 동백의 향기에 흠뻑 취할 수 있다. 뿐만 아니라 제주자생식물 250여종을 비롯해 모양과 색깔, 향기가 각기 다른 다양한 꽃이 동백과 어우러져 계절마다 독특하고 아름다운 풍경을 연출해 준다.",064-792-0088,연중무휴,"동 절 기 (12월~2월) 08:30 ~ 18:00<br />
간 절 기 (3월~5월, 9~11월) 08:30 ~ 18:30<br />
하 절 기 (6월~8월) 08:30 ~ 19:00<br />
※ 마감 1시간 전까지 입장 가능<br />
※ 수목원 내부에는 별도의 조명시설이 없는 관계로 일몰시간과 날씨 상황에 따라 입장 제한""",있음,없음,불가,"입 장 료:[개  인] <br>
 성  인 (19 ~ 64세) 8,000원<br>
 청소년 (13 ~ 18세) 6,000원<br>
 어린이 (만 3세 ~ 12세) 5,000원<br>
 경로 (만 65세 이상) / 군인 6,000원<br>
 장애인 (1~3급) /국가유공자 5,000원<br>
 <br>
 [30인 이상 단체/도민]<br>
 성인 (19 ~ 64세) 6,000원<br>
 청소년 (13 ~ 18세) 5,000원<br>
 어린이 4,000원<br>
 경로 (만 65세 이상) / 군인 5,000원<br>
 장애인 (1~3급) /국가유공자 4,000원<br>
 <br>
 * 경로우대는 만 65세 이상<br>
 * 군인/경로/장애인/국가유공자/도민은 각 증명서 제출<br>
 * 장애 1~2급은 동반 1인 할인, 3급은 본인만 할인<br>
 * 만 3세 (36개월 이하) 무료<br>
 * 중복할인 적용 불가(도민단체할인 제외)<br>
이용가능시설:야생화길, 동백숲, 마음의 정원, 전망대, 전통초가, 카페&숍, 잔디욕장, 용소폭포, 만남의 광장 등
화장실:있음
"
67,세천포구,"제주특별자치도 서귀포시 남원읍 위미리 799-2
			",33.2696137381,126.6741708395,"세천 포구는 서귀포시 남원읍 위미리에 있는 아주 작은 포구다. 일몰이 아름다우며 낚시하는 사람들이 좋아하는 포인트이기도 하다. 위미리는 마치 소가 누워있는 형상을 보인다고 하여 이름 붙여졌으며, 마을은 그 꼬리 부분에 자리 잡고 있어 우미라고 불렸다. 위미리의 세천 포구는 곤냇골개라고도 불리는데, 곤내는 가는 내, 골은 마을을 일컫고 개는 포구를 의미한다. 보말이 많이 잡히고, 아름다운 풍광과 잔잔한 물살로 낚시꾼과 사진을 취미로 하는 이들이 종종 찾는 곳이다.",064-740-6000,없음,상시 개방,있음,없음,가능,"입 장 료:없음

화장실:없음

"
68,수월봉과 차귀해안,"제주특별자치도 제주시 한경면 노을해안로 1013-70
			",33.2941224154,126.1630063111,"바다건너 제주에 내리면 뭍과는 다른 따스한 바람결이 느껴진다. 12월 육지에선 몸을 움츠렸던 사람들도 제주를 찾으면, 어디서나 볼 수 있는 제주의 푸른 바다와 그 푸른 바다에 반사되는 따사로운 햇살, 그리고 길가의 아열대 난대림 사이에서 불어오는 온화한 미풍을 맞으며 움츠렸던 몸을 펴고 남쪽나라 제주의 기운을 새삼 느끼게 된다. 바다로 둘러싸인 제주는 12월엔 특히 해와 관련된 나들이코스로 찾아볼 만하다. 해돋이로 유명한 성산의 일출봉은 그 이름만으로도 제주를 대표하는 관광명소이다. 그 옆의 섭지코지도 앞바다에 떠있는 난파선을 배경으로 떠오르는 해를 감상하기에 좋은 장소이다.
제주도 서쪽 끄트머리에 위치한 작은 언덕인 수월봉은 제주의 일몰명소로 가장 먼저 손꼽을 만하다. 수월봉 전망대에 오르면 드넓게 펼쳐진 제주의 서쪽바다가 화려하게 펼쳐진다. 북쪽으로 보이는 해안가에 떠있는 시커먼 것들은 차귀도라는 섬인데, 정상부에만 초지가 형성되어 있고 그 외는 온통 검은 바위절벽으로 이루어져 있다. 한때 유인도였다고도 하지만 저런 곳에 사람이 살 수 있었다는게 실감이 나지 않는다. 그림같이 떠있는 섬 차귀도와 건너편의 자구내 포구, 그리고 다시 시선을 끌어 당기면 포구 남쪽으로 현무암 검은 돌로 이루어진 제주 특유의 검은 해변의 풍경이 이어지고 이 모두가 수월봉 정상에서 바라보면 한폭의 풍경화와 같은 절경을 연출한다. 더군다나 햇빛이 석양에 물들어 발갛게 물드는 차귀해변의 풍경은 세상에 이보다 더 아름다운 해넘이 광경은 없을 성 싶을 정도로 보는 이로 하여금 충분히 탄성을 자아내게 한다. 한가지, 수월봉 언덕이 해안가에 우뚝 솟구쳐 있는 절벽인지라 정상부에 쳐놓은 울타리 바깥으로 나갈 시에는 실족치 않게 주의하도록 한다.
절경의 차귀도를 배경으로 멋진 일몰의 추억을 담고자 한다면, 12월에는 해가 남쪽으로 많이 치우쳐 있으므로 차귀해안 자구내 포구쪽보다는 조금 북쪽으로 올라간 용수마을 해안에서 낙조를 감상하는게 좋다. 지도상에는 절부암으로 표시되어 있는 이 곳에서의 겨울철 차귀도 섬 사이로 붉은 해가 떨어지는 모습은 정말 기억에 남을만한 멋진 장면이다. 검푸른 물결과 붉게 타들어가는 커다란 해의 모습이 대조를 이루며 바라보는 이에게는 감동의 일몰순간으로서 잊지못할 추억거리를 선사한다. 수월봉과 차귀해안,  그리고 용수마을의 아름다운 일몰은 우리가 알고 있는 제주도를 한층 더 아름답게 한다. 이 섬의 동쪽 끝에서는 떠오르는 해를 맞이하고 해를 따라 여행하다가 서쪽 끝에 서서는 지는 해를 바라본다.<br>",제주관광정보센터 064-740-6000,연중개방,,주차 가능,불가,없음,"입 장 료:무료
"
69,삼양 나이롱책방,제주특별자치도 제주시 선사로2길 37(삼양일동),33.5248702904,126.589555721,"제주시와 가까운 삼양의 어느 골목길에 나이롱책방이 자리한다. 나이롱은 ‘어떤 이로운 장난’을 의미한다고 한다. 보통 책방에 들르면 어떤 책을 골라야 할지 고민스럽기 마련이다. 나이롱책방에서는 책을 고르는 데 도움이 되도록 각각의 책마다 어떤 내용을 담고 있는지 정성스러운 손글씨로 적혀 있다. 책은 주제별로 구분되어 있는데 제주와 관련된 서적부터 독립출판물, 다양한 해외서적까지 만나볼 수 있다. 읽은 이의 흔적이 고스란히 남은 중고 책도 함께 판매한다. 나이롱책방은 책과 커피를 함께 즐길 수 있는데, 책은 구매 후에 테이블에서 여유롭게 읽을 수 있다. 한쪽에는 그동안 책방을 다녀간 이들의 발자취를 더듬어볼 수 있는 그림 방명록을 비치해 구경하는 재미를 더한다.",010-2068-8984,"매주 수,목요일 및 공휴일",12:00 ~ 18:00,있음(공영주차장),없음,없음,
70,강정포구,제주특별자치도 서귀포시 말질로 291(강정동),33.2271624839,126.4750196034,"해외 휴양지 못지않게 아름다운 자연을 가진 제주도, 그중에서도 서귀포 남쪽 해안을 바라보는 강정포구는 풍광이 멋진 곳으로 알려졌다. 해군 기지가 있는 이곳은 제주 민군 복합형 관광미항이 개장되면서 일반인들도 환상적인 일출과 일몰을 감상할 수 있게 됐다. 강정포구 안쪽으로 연결된 해 오름 노을길은 해안을 따라 걸을 수 있는 산책길이며, 많은 사진작가가 인생 사진을 찍기 위해 자주 찾는 명소이기도 하다. 산책길을 따라 그려진 벽화는 물론, 멀리 보이는 군산 오름, 대평 박수기정, 산방산, 송악산은 한 폭의 그림을 완성한다.",064-740-6000,,상시 개방,주차가능,없음,가능,"이용가능시설:해안 산책길 <br>화장실 있음 (강정다이브센터)
"
71,제주러브랜드,제주특별자치도 제주시 1100로 2894-72(연동),33.4521072871,126.488391164,"국내 유일의 성(性)을 주제로 한 테마조각공원 제주러브랜드.홍익대 미대 조소과 출신의 신인, 중견 작가 20여명이 2년여의 제작기간을 거쳐 2004년 11월 16일 드디어 국내 최초로 성테마 조각공원이 문을 열었다. 39,667m²(12,000평)의 대지 위에 야외 조각작품 100여점과 실내 미술관에 40여점의 조각품이 전시되어 있으며 공원 전체가 거대한 랜드아트(대지미술)로 작품화되어 있다. 제주도 유일의 야간 관광지로 관람시간은 오전 9시부터 밤 12시까지 일년 365일 관람객들을 맞이하고 있으며 관람 소요시간은 주간 30분, 야간 40분이 소요된다. 공원 내에 유리돔 레스토랑과 노천까페, 아트샵도 있어 볼거리, 먹거리, 살거리와 함께 촉각체험작품을 직접 작동해 보면 색다른 즐거움을 맛볼 수 있는 곳이다. 즐거움과 해학으로 가득찬 조각공원 제주러브랜드는 휴식과 관광, 에로티시즘이 가미된 새로운 볼거리를 제공하며, 외설이 아닌 예술의 공간으로 성을 아름답고 개방된 곳에서 만날 수 있다.",064-712-6988,연중개방,09:00~22:00 (매표 09:00~21:30),주차가능(120대),불가,불가,"주차요금:무료
화장실:있음
이용가능시설:백록미술관1관, 백록미술관2관, 게스트하우스, 갤러리카페, 다목적극장, 어린이휴게실
입 장 료:- 성인 : 개인 12,000원/ 단체 11,000원<br />
- 경로/유공자/장애인 : 개인 10,000원/ 단체 9,000원<br />
- 제주도민 : 10,000원<br/>
※ 단체 30인 이상<br />
※ 미성년자 입장불가(청소년 휴게실 운영)<br />
※ 경로 65세이상, 유공자 본인에 한함
"
72,대록산 (큰사슴이오름),"제주특별자치도 서귀포시 표선면 녹산로 536
			",33.3915764084,126.7449563821,"대록산은 서귀포 표선면 가시리에 있는 고도 466m의 측화산(기생화산)이다. 전반적으로 가파르고 둥근 모습이 사슴 모양을 닮았다고 하여 큰사슴이오름으로 불린다. 정상의 봉우리 사이에는 둥그렇게 패어있는 원형 화구를 가지고 있다. 사시사철 자연의 아름다움을 자랑하는 곳이지만, 특히 가을이면 넓게 펼쳐진 억새로 많은 관광객이 찾는다. 정상으로 가는 길목에 있는 이 억새밭은 넓은 들판과 대록산을 배경으로 완벽한 포토존을 만들어 낸다. 억새밭에서 정상까지는 약 1.3km 정도이며, 다소 계단이 많으니 편안한 복장으로 다녀오는 것을 추천한다.",064-760-4701,,,있음,없음,가능,"등산로:null
이용가능시설:유채꽃 프라자 카페 <br>부대시설: 주차장, 화장실
"
73,솔오름 (미악산),제주특별자치도 서귀포시 인정오름로 387-63(동홍동),33.3005945221,126.5542194241,"솔오름은 토평동 산 16번지 일대에 있다. 동홍과 토평의 경계지역이기도 하며, 높이는 113m로 낮은 편이다. 솔오름의 솔은 ᄊᆞᆯ(쌀)을 이르는 옛말 가운데 하나로, 이 때문에 한자로는 米岳山(미악산)으로 쓴다. 과거 솔오름에서 여러 목장을 운영하면서 벌레 방제와 덤불 제거를 하기 위해 인공적인 산불이 자주 났으나, 지금은 관리를 통해 우거진 산림이 조성됐다. 그 덕에 산행 또는 운동 코스로 더욱 많이 알려진 곳이다. A 코스, B 코스로 이루어졌으며, 왕복 1시간 이내로 가벼운 산행을 할 수 있다.",064-760-4701,연중무휴,,있음,없음,가능,"이용가능시설:정상 데크 전망대		

화장실:있음

주차요금:무료

입 장 료:무료		

"
74,아부오름,제주특별자치도 제주시 구좌읍 금백조로(구좌읍),33.4476124043,126.7773495159,"구좌읍 송당리 천백도로 건영목장입구에서 남동쪽 약 800m지점 건영목장 안에 위치한 오름으로 앞오름, 압오름, 아부오름이랑 불리기도 하며, 완만하고 단순한 형태로 원형분화구의 대표적인 오름이다.  이 오름은 바깥 둘레는 약 1,400m, 바닥 둘레 500m, 화구 깊이 78m이며 전 사면이 완만한 경사를 이루고 있다.<br /><br />* [유래] - 산모양이 믿음직한 것이 마치 가정에서 어른이 좌정해 있는 모습 같다하여 한자로는 亞父岳(아부악), 阿父岳(아부악)으로 표기하고 있고, 송당마을과 당오름의 앞(남쪽)에 있는 오름이라 하여 前岳(전악)이라고도 표기한다. 亞父(아부)란 아버지 다음으로 존경하는 사람, 阿父(아부)는 아버지의 뜻이라고 한다.<br>",064-740-6000,,,,불가,없음,"촬영장소:영화 '이재수의 난', '연풍연가' 촬영지
"
75,문도지오름,"제주특별자치도 제주시 한림읍 금악리 3444
			",33.3268458551,126.2944830471,"문도지오름은 한경면 방림원 사잇길을 따라 차량으로 10분 정도 들어가면 차도가 끝나는 지점의 명성목장에서부터 시작되며 제주 올레 14-1코스에 속해 있다. 이곳은 사유지로, 명성 목장의 말 방목지로도 이용되고 있는데 소유주의 배려로 자유롭게 탐방할 수 있다. 오름의 들머리에서 정상까지는 불과 10분도 걸리지 않는다. 탐방객들이 익숙한 듯 유유히 풀을 뜯는 말들은 인기척에도 반응이 없다. 오름은 동쪽으로 열린 말굽형의 모습이며, 산정은 네 방향으로 다채로운 경관을 품고 있다. 뒤편으로는 한라산이 오롯이 조망되며, 금악이오름을 시점으로 신창리 풍력발전기들과 당산봉, 좌측으로는 산방산까지 이어지는 제주의 서남부 권역이 드넓게 펼쳐진다. 차귀도 너머로 빨갛게 타오르는 하늘과 석양을 만날 수 있는 노을 명소로, 일몰 풍경을 작품으로 남기려는 사진작가들에게 인기가 높은 오름이다.",064-740-6000 (제주관광정보센터),연중무휴,상시 개방,가능 (오름 입구 주차 가능),없음,가능,
76,베릿네오름,"제주특별자치도 서귀포시 중문동 2314-2
			",33.2474788502,126.4220098576,"베릿네 오름은 중문 관광단지의 천제연 계곡 동쪽에 있는 언덕 일대를 말하는 오름이다. 아름다운 물길을 자랑하는 계곡인 천제연을 포함하고 있다. 세 봉우리로 이루어져 각각 동 오름, 섯오름, 만지 섬오름으로 나누어 불린다. 울창한 숲이 있어 식물학적 측면에서도 귀중한 가치를 지니는 오름이다. 이곳은 특정 야생동물·식물로 지정된 솔잎난과 담팔수 등 희귀 식물이 살고 있다. 천연기념물 제182-7호로 지정되어 보호받고 있는 이유이다. 올레길 8코스가 지나가는 길이어서 관광객의 발길이 이어지고 있으며, 빼어난 경치를 감상하며 가볍게 걷기에 좋은 산책로다.","064-760-4701, 064-760-4831",,,"주차가능, 천제연폭포주차장",없음,가능,"이용가능시설:정상 데크 전망대
"
77,이중섭 거주지,제주특별자치도 서귀포시 이중섭로 29(서귀동),33.2455757555,126.5644169991,"불운한 시대의 천재화가, 미친듯한 필치로 역동적인 모습을 화폭에 담으면서 화풍만큼이나드라마틱한 삶을 살았던 이중섭.  짧다면 짧다고 할 수 있는 그의 41년 생애만 보더라도  불우한 예술가의 생애를 살다 갔다고 할 수 있다. 더구나 그의 작품 대부분이 빈곤했던 그의 생애가 마감된 이후에야 비로소 가치를 인정받고 명작의 대열에 올라서는 것을 보면 이런 것 또한 아이러니한 예술의 본질이 아닌가 한다.화가 이중섭은 1916년 평안남도 평원군 조운면 송천리에서 태어났다.지주의 아들로서 어렸을 적 유복한 환경에서 자랐으며 청년기에는 일본 동경에서 유학하기도 하면서 그의 기질을 펼쳐나갔다. 하지만 6.25 전쟁은 그에게 고난과 빈곤의 삶의 시작이었다. 1951년 동란기에 이중섭은 삶과  예술의 자유를 찾아 남하, 제주 서귀포로 향한다. ""서귀포가 더 좋소, 서귀포 칠십리에 물새가 운다는 노래도 있지 않소. 임자는 그리 가오""라는 낭만적인 권유가 그를 자극했다고 하지만, 그것도 잠깐, 제주도에서 1년이 채 못되어 부산으로 돌아와 겪게 되는 가족과의 이별. 이후로 그는 더욱 더 파란만장하고 곤궁했던 삶을 살다가 급기야는 정신이상 증세와 영양실조, 마침내 1956년 불우한 삶을 마감하고 영면에 들어갔다.<br />
<br />
그의 생애를 보면 한마디로 파란과 불운의 연속이라 할 수 있다. 그의 많은 작품에서 나타나는 힘과 역동적인 움직임은 이러한 역경과 고통속에서 몸부림치는 그 자신의 내면을 나타내는 것으로 보여지기도 한다.한편, 파란 게와 아이들 서귀포의 환상 섶섬이 보이는 풍경 등의 작품은 그가 제주 서귀포에 머무를때 남긴 것으로 서귀포의 아름다운 풍경과 넉넉한 인심 등을 소재로 한 목가적인 작품들이다. 사실 제주에 도착해 여러날을 걸어서 도착한 서귀포에서조차도 생계가 어렵기는 마찬가지였지만 그래도 불행했던 가족사 중 이곳에서의 1년은 행복했던 한 때가아니었나 싶다. 특히&lt;파란게와 아이들은 그의 두 아들과 숱하게 잡아먹었던 게에 대한 미안함 때문에 그렸다는 점이 재미있다. 이 후 제주도를 떠난 후의 작품에서도 그 절을 그린 그림이 많은 것을 보면, 짧은 기간 그의 서귀포 체류는 대향 이중섭의 예술에 지대한 영향을 끼쳤음을 알 수 있다.<br /><br />
제주 서귀포시에서는 천재화가 이중섭과 그의 작품세계를 기리기위해 그가 잠시 살다 간 서귀포 정방동 거주지를 당시 모습으로 복원, 정비하고 정방동 매일시장 입구부터 솔동산까지 360m를 '이중섭 거리'로 지정하여 그의 서귀포 체류 시절을 기념하고 있다. 1995년 11월 이중섭 거주지기념표석이 세워졌고, 이듬해 2월 말 그가 자주 거닐곤 했던 길가는「이중섭 거리」로, 그리고 그 이듬해인 1997년 4월 그가 기거했던 집과 부속건물을 복원, 정리하여「이중섭 거주지」와 그의 호 ""대향""을 따라서「대향전시실」로 꾸며 놓고 소개하게 되었다.  이로써 제주 서귀포시의「이중섭 거리」는 한국 최초로 화가의 이름이 붙여진 거리가 되었으며, 더불어 매년 10월말 그의 사망주기에 맞추어 ""이중섭 예술제""를 이곳에서 거행, 그의 예술혼을 기리는 행사를 하고 있다.이중섭과  그의 가족 4명이 기거했던 방은 1.3평 정도의 아주협소한 공간으로 명성에 비하여 얼마나 그의 인생이 초라했고 치열했는지 알 수 있다. 전시실은 8평 남짓한 공간에 그의 서귀포 생활이 담긴 작품을 중심으로 서귀포의 추억물고기 등의 그림이 전시되어 있으며 특히 눈길을 끄는 것은 담배 은박지에 그린 은지화 작품으로 6.25전쟁 후 생활고로 인한 그림재료의 열악함을 짐작할 수 있는 부분이다. 또한, 흥미있는 사실은 당시 이중섭에게 세를 준 할머니가 아직까지 그 거주지에서 살고 있다는 점이다. 한 편의 드라마 같은 삶을 산 예술가 이중섭은 이미 떠나고 없다. 다만 잠깐이나마 그가 머물렀던 이곳 서귀포에서 그의 그림과 삶의 흔적들을 둘러보면서 그의 예술관을 느껴볼  수 있을 뿐이다. 하지만 더불어 화가 이중섭의 인간적인 내면의 모습까지도 그려볼 수 있다면남쪽 멀리 여기 제주까지 내려온 예술기행에 참 의미를 부여할 수 있을 것이다.<br>",064-740-6000,,,,없음,없음,
78,우도 산호해변(서빈백사),"제주특별자치도 제주시 우도면 우도해안길 252
			",33.5026812286,126.9437532672,우도 산호해변(서빈백사해수욕장)은 에메랄드빛으로 부서지는 햇살 아래 하얗다 못해 푸른빛이 감도는 홍조단괴 백사장이다. 수심에 따라 바다 빛깔이 달라 남태평양이나 지중해의 어느 바다와 비교해도 손색이 없다.<br>,064-740-6000,연중개방,00:00~24:00,주차가능,없음,없음,"입 장 료:무료
이용가능시설:화장실, 편의점,음료대 등
화장실:있음
"
79,순례자의 교회,"제주특별자치도 제주시 한경면 일주서로 3960-24
			",33.319830957,126.1805486613,"제주 올레길 13코스에 위치한 교회로 세상에서 가장 작은 교회라고 알려져 있다. 예배 시간이 정해지지 않고 방문객을 맞이하는 시설도 없이 조용한 명상과 묵상을 할 수 있게 마련된 예배당이다. 교회 탑에 '길 위에서 묻다'라는 문구가 방문객들에게 많은 질문을 던진다. 종교에 상관없이 길 위에서 이곳을 지나는 모든 사람들에게 열린 공간으로 홀로 조용히 지나온 길들을 돌아볼 기회를 선사해준다. 넓은 한경면 일대 전원 풍경에 자그마한 교회의 이국적인 모습이 조화를 이룬다. 입장료도, 운영시간도 따로 없어 부담 없이 지나가다 둘러보기 좋다.",070-7569-0460,,00:00 ~ 24:00,,없음,없음,
80,제주 우도 천진항 대합실,"제주특별자치도 제주시 우도면 우도해안길 70
			",33.4928352215,126.9515555965,"제주도의 동쪽 끝에 있는 우도는 물소가 머리를 내민 모양(우두형)으로 있는 것 같다고 해서 붙여진 이름이다. 서울 면적의 약 100분의 1이며, 인구가 1,800여 명 정도 되는 제주도의 섬이다. 우도에는 2개의 선착장 천진항과 하우목동항이 있는데 우도의 관문 항구이자 관광객들에게 많이 알려진 곳은 천진항이다. 우도 유채꽃 마을 정보 센터와 바로 붙어있는 우도 천진항 대합실은 크지 않은 규모로 매표소와 대기석 그리고 간단한 간식과 기념품을 구매할 수 있는 매점이 있다. 대합실 근처에는 우도 관광의 편의를 위해 전기자동차 대여소들이 즐비해 있다. 우도로 들어올 때는 자동차와 스쿠터를 가지고 들어올 수 있다. 자동차는 선적증 구입 후 출항 시간 10분 전까지 선원의 지시에 따라 반드시 면허증 소유자가 선적시켜야 한다.",064-783-0448,,"천진항 -> 성산항 배편시간 <br>
1 ~ 2월 / 11 ~ 12월 08:00  ~ 17:00 30분 간격 <br>
3, 10월 08:00 ~ 17:30 30분간격 <br>    
4, 9월 08:00 ~ 18:00 30분 간격 <br>
5, 8월 08:00 ~ 18:30 30분 간격",,없음,가능,"입 장 료:왕복 배값 10,500원 <br>
※ 이용요금은 변동될 수 있으므로 홈페이지 참조 또는 전화 문의 요망
이용가능시설:매점
화장실:가능
"
81,산방굴사(제주),"제주특별자치도 서귀포시 안덕면 산방로 218-12
			",33.2372560486,126.3133472902,"온통 절벽으로 이루어진 산방산 중턱에 영주 10경의 하나인 산방굴사가 있다.원래 한라산 정상이었던 것이 뽑혀 산방산이 되고 그 뽑힌 자리가 백록담이 되었다는 전설이 사실인 양 산방산은 제주의 다른 산과는 달리 분화구가 없으며, 외 벽은 온통 풍화작용에 의한 침식으로 장관을 이루고 있다.산방산은 제주도 형성시기에 생성되었으며 높이는 395m이다. 산방산의 서남쪽 중턱 절벽에 길이 10m, 너비와 높이가 각각 5m 되는 굴이 있는데, 천정 한복판에서는 수정 같이 맑은 물방울이 사시사철 눈물처럼 떨어져 굴 안에 고인다.굴밖에 있는 노송사이로 보이는 형제섬, 가파도, 한국 최남단  영토인 마라도와 용머리 해안의 경관이 아름다워 예로부터 수도승들의 수도 장소로 애용되기도 하였다. 산방산의 암벽에는 석곡, 지네발란, 풍란 등이 자생하고 있으며 위쪽에는 제주에서는 유일하게 섬회양목이 자생하고 있다. 산방산 암벽 식물지대는 천연기념물로 지정되어 있다.<br><br>* 용머리해안<br>
산방산 앞자락 바닷가, 산방산 휴게소에서 10여 분을 걸어 내려가면 수려한 해안 절경과 마주친다. 쉼없이 밀려드는 파도를 피하며 아기자기 놓여 있는 관광로를 걷다 보면 태평양의 푸름과 멋드러진 해안절경 속으로 빠져드는 듯하다.용머리라는 이름은 언덕의 모양이 용이 머리를 들고 바다로 들어가는 모습을 닮았다 하여 붙여졌다. 용머리로 들어가는 입구에는 '하멜기념비'가 있으며 용머리를 관광하는 데는 1시간 정도면 족하다.<br>",064-794-2940,연중개방,일출~일몰,주차가능,불가,없음,"입 장 료:[산방산암벽식물지대(산방굴사)]<br />
* 개인 : 어른 1,000원 / 청소년·군인·어린이 500원<br />
* 단체 : 어른 700원 / 청소년·군인·어린이 400원<br />
[산방산/용머리해안 통합 입장료]<br />
* 개인 : 어른 2,500원 / 청소년·군인·어린이 : 1,500원<br />
* 단체 : 어른 2,000원 / 청소년·군인·어린이 : 1,000원<br />
※ 제주도민, 6세이하, 65세이상 무료<br />
※ 단체요금 10인 이상 적용
화장실:있음
한국어 안내서비스:문화관광해설사 안내(사전 예약)
"
82,엉덩물계곡,제주특별자치도 서귀포시 중문관광로 192(중문동),33.2432598241,126.4190129892,"중문관광단지의 롯데호텔 동편으로 자리한 계곡이다. 큰 바위가 많고 지형이 험준하여 물을 찾는 짐승들조차 접근은 못하고 엉덩이를 들이밀고 볼일만 보고 돌아갔다고 해서 엉덩물계곡이라는 이름이 붙었다고 한다. 봄이면 계곡 경사면을 따라 유채꽃이 만발하여 장관이다. 입장료를 받는 다른 유채꽃 단지와는 달리 무료로 입장할 수 있으며, 평지보다 유채꽃 풍경이 입체적이다.
올레 8코스에 포함되어 있으며, 중문달빛걷기공원으로도 불린다.
<출처: 비짓제주>",제주관광정보센터 064-740-6000,,,,없음,없음,
83,제주 하도리 철새도래지,제주특별자치도 제주시 구좌읍 하도리(구좌읍),33.520470067,126.8905991314,"하도철새도래지는 면적은 약 0.77㎢ 정도로 바다와 인접하고 수심은 1m 정도로 영양분이 풍부한 먹이감과 습지식물이 많아 철새들이 월동하기엔 최적의 지역으로 알려진 곳이다.  이곳에는 천연기념물로 지정돼 있고 세계적으로 1,600여 마리 정도만 남아있다는 저어새를 비롯해 천연기념물인 고니, 매, 황조롱이 등과 환경부 멸종위기야생동물인 물수리 등이 관찰되고 있다. 하도리 지미봉 기슭은 해안에 하구둑을 축조해 저수지를 만들어 먹이가 풍부하고 둥지를 틀 수 있는 곳이 많이 있다. 특히 이곳은 둑을 축조하며 만든 다리의 경치가 일품이라 드라이브코스로도 각광받고 있다. <br>",064-740-6000,,,,없음,없음,
